n_queries,drift_tv,drift_js,stance_shift,stance_div,stance_onesided,stance_gap,poison_in_topk,poison_share,in_pool_rate,mean_score,attack,retriever,defense,epsilon,poison_rate,backbone
48.0,0.0,0.0,0.4666666666666667,0.2859465438175779,0.4666666666666667,0.0,nan,nan,0.08333333333333333,5.047132853339495,clean,bm25,vanilla,,,
48.0,0.02604166666666667,0.001695686886175787,0.4481981981981983,0.26560975134132675,0.4481981981981983,0.09876543209876543,nan,nan,0.075,1.3757608826358825,clean,bm25,multi_query,,,
48.0,0.0,0.0,0.4666666666666667,0.2859465438175779,0.4666666666666667,0.0,nan,nan,0.08333333333333333,5.047132853339495,clean,bm25,repr_group,1.0,,
48.0,0.05000000000000001,0.025512992231615197,0.5,0.3112781244591328,0.5,0.0,nan,nan,0.08333333333333333,5.047132853339495,clean,bm25,repr_group,0.0,,
48.0,0.0,0.0,0.4833333333333333,0.29143028141518923,0.4833333333333333,0.0,nan,nan,0.08333333333333333,5.047132853339495,clean,bm25,repr_both,1.0,,
48.0,0.025000000000000005,0.019704399805002333,0.4166666666666667,0.23863880325032666,0.4166666666666667,0.04999999999999998,nan,nan,0.07083333333333335,5.047132853339495,clean,bm25,repr_both,0.0,,
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.07500000000000001,0.8560023121535778,clean,st,vanilla,,,e5-base-v2
48.0,0.1885416666666667,0.13208663036983684,0.4904761904761905,0.29993649986259363,0.4904761904761905,0.038461538461538464,nan,nan,0.08333333333333333,1.220009458222154,clean,st,multi_query,,,e5-base-v2
48.0,0.0625,0.07142857142857142,0.5,0.31127812445913283,0.5,nan,nan,nan,0.09166666666666667,-1.4251518963729926,clean,st,manifold,,,e5-base-v2
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.07500000000000001,0.8560023345053196,clean,st,repr_group,1.0,,e5-base-v2
48.0,0.075,0.050668456641434566,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.07916666666666668,0.8558290474116803,clean,st,repr_group,0.0,,e5-base-v2
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.07500000000000001,0.8560023345053196,clean,st,repr_both,1.0,,e5-base-v2
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.07500000000000001,0.8560023345053196,clean,st,repr_both,0.0,,e5-base-v2
48.0,0.1625,0.08056614838779202,0.5,0.3112781244591328,0.5,0.7435897435897436,0.75,0.6875,0.012499999999999999,6.958740294841064,template,bm25,vanilla,,0.005,
48.0,0.16701388888888888,0.07081870402061957,0.5,0.31127812445913283,0.5,0.7017543859649124,0.75,0.6041666666666666,0.016666666666666666,1.347788263297792,template,bm25,multi_query,,0.005,
48.0,0.1625,0.08056614838779202,0.5,0.3112781244591328,0.5,0.7435897435897436,0.75,0.6875,0.012499999999999999,6.958740294841064,template,bm25,repr_group,1.0,0.005,
48.0,0.1875,0.07540280872710806,0.5,0.3112781244591328,0.5,0.7051282051282052,0.75,0.6875,0.012499999999999999,6.7285340899512205,template,bm25,repr_group,0.0,0.005,
48.0,0.325,0.3308320992146736,0.45384615384615384,0.2695740410571341,0.45384615384615384,0.16666666666666666,0.75,0.6250000000000001,0.016666666666666666,6.680268646977048,template,bm25,repr_both,1.0,0.005,
48.0,0.16874999999999998,0.09290860028660355,0.47435897435897434,0.2889275640871924,0.47435897435897434,0.5769230769230769,0.75,0.6125,0.016666666666666666,6.772571587239789,template,bm25,repr_both,0.0,0.005,
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,0.0625,0.0375,0.07500000000000001,0.8561312891542912,template,st,vanilla,,0.005,e5-base-v2
48.0,0.2109375,0.14724744487825486,0.4904761904761905,0.29993649986259363,0.4904761904761905,0.3148148148148149,0.375,0.1125,0.06666666666666667,1.2224893339886673,template,st,multi_query,,0.005,e5-base-v2
48.0,0.0625,0.07142857142857142,0.5,0.31127812445913283,0.5,nan,0.0,0.0,0.09583333333333333,0.5387829787352204,template,st,manifold,,0.005,e5-base-v2
