n_queries,drift_tv,drift_js,stance_shift,stance_div,stance_onesided,stance_gap,poison_in_topk,poison_share,in_pool_rate,mean_score,defense,lambda,adaptive,usage
48.0,0.14010416666666667,0.09495166907984583,0.49523809523809526,0.3056073121608633,0.49523809523809526,0.07936507936507937,0.2708333333333333,0.07500000000000001,0.08750000000000001,1.235636222470492,multi_query,0.0,True,1.0000000535163325
48.0,0.3104166666666667,0.2306014817909617,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.393510523193403,multi_query,0.25,True,0.9959384835618903
48.0,0.3541666666666667,0.25302069719376447,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.3895274391438175,multi_query,0.5,True,0.9880394188182444
48.0,0.3833333333333333,0.2784714948607044,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.404827826550611,multi_query,1.0,True,0.9712582420978391
48.0,0.37916666666666665,0.23860541260804483,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.4023952574244063,multi_query,2.0,True,0.9459562698876538
48.0,0.4416666666666667,0.33847945969890103,0.5,0.3112781244591328,0.5,1.0,1.0,1.0,0.0,1.4348691791094659,multi_query,4.0,True,0.9192650801513191
48.0,0.1625,0.17112968585738272,0.5,0.31127812445913283,0.5,0.0,0.0,0.0,0.08333333333333333,0.42833969230234414,manifold,0.0,True,1.0000000535163325
48.0,0.39375000000000004,0.2812267721445933,0.5,0.3112781244591328,0.5,1.0,1.0,1.0,0.0,-4.61153689924777,manifold,0.25,True,0.9959384835618903
48.0,0.4125000000000001,0.30464558525883684,0.5,0.3112781244591328,0.5,1.0,1.0,1.0,0.0,-4.4456986194955865,manifold,0.5,True,0.9880394188182444
48.0,0.40625,0.29619183750441436,0.5,0.3112781244591328,0.5,1.0,1.0,1.0,0.0,-4.03389764509647,manifold,1.0,True,0.9712582420978391
48.0,0.40625,0.28676687467547973,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,-3.3611832801536004,manifold,2.0,True,0.9459562698876538
48.0,0.4000000000000001,0.28404340247729604,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,-1.8073847372261944,manifold,4.0,True,0.9192650801513191
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,0.0,0.0,0.09999999999999999,0.8529109217226504,repr_conserving,0.0,True,1.0000000535163325
48.0,0.44375000000000003,0.5,0.5,0.31127812445913283,0.5,nan,1.0,1.0,0.0,1.0168041221797466,repr_conserving,0.25,True,0.9959384835618903
48.0,0.4437499999999999,0.47762288011895915,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.216043221950531,repr_conserving,0.5,True,0.9880394188182444
48.0,0.4375,0.5,0.5,0.31127812445913283,0.5,nan,1.0,1.0,0.0,1.6107102826237678,repr_conserving,1.0,True,0.9712582420978391
48.0,0.4375,0.4677710671925284,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,2.405406367778778,repr_conserving,2.0,True,0.9459562698876538
48.0,0.4312500000000001,0.46153846153846156,0.5,0.31127812445913283,0.5,nan,1.0,1.0,0.0,3.995168098807335,repr_conserving,4.0,True,0.9192650801513191
