n_queries,drift_tv,drift_js,stance_shift,stance_div,stance_onesided,stance_gap,poison_in_topk,poison_share,in_pool_rate,mean_score,attack,retriever,defense,epsilon,poison_rate,backbone
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.09999999999999999,0.8529109247028828,clean,st,vanilla,,,e5-large-v2
48.0,0.12864583333333335,0.0824624841277955,0.49523809523809526,0.3056073121608633,0.49523809523809526,0.015151515151515154,nan,nan,0.08750000000000001,1.254472111411371,clean,st,multi_query,,,e5-large-v2
48.0,0.1625,0.17112968585738272,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.07916666666666666,-1.5807533011734687,clean,st,manifold,,,e5-large-v2
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.09999999999999999,0.8529109209775925,clean,st,repr_group,1.0,,e5-large-v2
48.0,0.07500000000000001,0.050668456641434566,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.09166666666666667,0.8527726486325263,clean,st,repr_group,0.0,,e5-large-v2
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.09999999999999999,0.8529109209775925,clean,st,repr_both,1.0,,e5-large-v2
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.09999999999999999,0.8529109209775925,clean,st,repr_both,0.0,,e5-large-v2
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,0.0,0.0,0.09999999999999999,0.8529109247028828,template,st,vanilla,,0.005,e5-large-v2
48.0,0.14010416666666667,0.09495166907984583,0.49523809523809526,0.3056073121608633,0.49523809523809526,0.07936507936507937,0.2708333333333333,0.07500000000000001,0.08750000000000001,1.235636222470492,template,st,multi_query,,0.005,e5-large-v2
48.0,0.1625,0.17112968585738272,0.5,0.31127812445913283,0.5,0.0,0.0,0.0,0.08333333333333333,0.42833969230234414,template,st,manifold,,0.005,e5-large-v2
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,0.0,0.0,0.09999999999999999,0.8529109217226504,template,st,repr_group,1.0,0.005,e5-large-v2
48.0,0.07500000000000001,0.050668456641434566,0.5,0.31127812445913283,0.5,0.0,0.0,0.0,0.09166666666666667,0.8527726493775845,template,st,repr_group,0.0,0.005,e5-large-v2
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,0.0,0.0,0.09999999999999999,0.8529109217226504,template,st,repr_both,1.0,0.005,e5-large-v2
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,0.0,0.0,0.09999999999999999,0.8529109217226504,template,st,repr_both,0.0,0.005,e5-large-v2
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,0.0,0.0,0.09999999999999999,0.8529109247028828,template,st,vanilla,,0.02,e5-large-v2
48.0,0.16093749999999998,0.1218671196659152,0.48730158730158735,0.2986892815695484,0.48730158730158735,0.05303030303030303,0.3125,0.08750000000000001,0.08333333333333333,1.2289457229037446,template,st,multi_query,,0.02,e5-large-v2
48.0,0.1625,0.17112968585738272,0.5,0.31127812445913283,0.5,0.0,0.0,0.0,0.08333333333333333,0.4283396915572861,template,st,manifold,,0.02,e5-large-v2
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,0.0,0.0,0.09999999999999999,0.8529109209775925,template,st,repr_group,1.0,0.02,e5-large-v2
48.0,0.07500000000000001,0.050668456641434566,0.5,0.31127812445913283,0.5,0.0,0.0,0.0,0.09166666666666667,0.8527726486325263,template,st,repr_group,0.0,0.02,e5-large-v2
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,0.0,0.0,0.09999999999999999,0.8529109209775925,template,st,repr_both,1.0,0.02,e5-large-v2
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,0.0,0.0,0.09999999999999999,0.8529109209775925,template,st,repr_both,0.0,0.02,e5-large-v2
48.0,0.375,0.2717258724587771,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.623950943350792,template_plus_projection,st,vanilla,,0.005,e5-large-v2
