n_queries,drift_tv,drift_js,stance_shift,stance_div,stance_onesided,stance_gap,poison_in_topk,poison_share,in_pool_rate,mean_score,defense,lambda,adaptive,usage
48.0,0.1171875,0.07435491869078446,0.49523809523809526,0.30560731216086323,0.49523809523809526,0.30357142857142855,0.2708333333333333,0.0625,0.08749999999999998,1.2020780109526896,multi_query,0.0,True,1.000000016093642
48.0,0.43124999999999997,0.3246428415741487,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.4098250645971213,multi_query,0.25,True,0.9967902463332563
48.0,0.4354166666666666,0.3316191204617366,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.4142527639036058,multi_query,0.5,True,0.9906939305566692
48.0,0.46458333333333335,0.3605643050984857,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.4169349016588864,multi_query,1.0,True,0.9780397482878921
48.0,0.42291666666666666,0.3027171051037782,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.4115926584898082,multi_query,2.0,True,0.9593604755077985
48.0,0.39375,0.22480828751745552,0.5,0.3112781244591328,0.5,1.0,1.0,1.0,0.0,1.4229715431464445,multi_query,4.0,True,0.9399302057743887
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,0.0,0.0,0.09583333333333333,0.5590609941111284,manifold,0.0,True,1.000000016093642
48.0,0.3875,0.33708738264036564,0.5,0.3112781244591328,0.5,1.0,1.0,1.0,0.0,-3.3646266753395437,manifold,0.25,True,0.9967902463332563
48.0,0.39999999999999997,0.42548246485816515,0.5,0.3112781244591328,0.5,1.0,1.0,1.0,0.0,-3.133449614445196,manifold,0.5,True,0.9906939305566692
48.0,0.375,0.42046485775324316,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,-2.707612839334581,manifold,1.0,True,0.9780397482878921
48.0,0.3875,0.43817183601361326,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,-1.83464227890173,manifold,2.0,True,0.9593604755077985
48.0,0.3875,0.4370927081530443,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,-0.22868266092706505,manifold,4.0,True,0.9399302057743887
48.0,0.012499999999999999,0.007716539010400009,0.5,0.31127812445913283,0.5,0.0,0.0625,0.025000000000000005,0.09583333333333333,0.8984168522059918,repr_conserving,0.0,True,1.000000016093642
48.0,0.41874999999999996,0.42857142857142855,0.5,0.31127812445913283,0.5,nan,1.0,1.0,0.0,1.0706820860505104,repr_conserving,0.25,True,0.9967902463332563
48.0,0.4124999999999999,0.42857142857142855,0.5,0.31127812445913283,0.5,nan,1.0,1.0,0.0,1.280642631649971,repr_conserving,0.5,True,0.9906939305566692
48.0,0.43124999999999997,0.42857142857142855,0.5,0.31127812445913283,0.5,nan,1.0,1.0,0.0,1.7010666117072109,repr_conserving,1.0,True,0.9780397482878921
48.0,0.4437499999999999,0.42857142857142855,0.5,0.31127812445913283,0.5,nan,1.0,1.0,0.0,2.5417242109775544,repr_conserving,2.0,True,0.9593604755077985
48.0,0.43124999999999997,0.42857142857142855,0.5,0.31127812445913283,0.5,nan,1.0,1.0,0.0,4.227601170539856,repr_conserving,4.0,True,0.9399302057743887
