Retrieval Poisoning / Group-Representation Drift -- summary
run_tag=align_gte_ad  elapsed=398.7s

TABLE 1  Attack effect (no defense), by retriever
                    attack retriever  drift_tv  drift_js stance_sh stance_dv  poison@k    util
                     clean      bm25    0.0000    0.0000    0.4667    0.2859       nan   0.083
                     clean        st    0.0000    0.0000    0.5000    0.3113       nan   0.096

TABLE 2  Defense comparison under the strongest attack
retriever      defense   eps  drift_tv stance_dv  poison@k    util mean_score

TABLE 3  Epsilon sweep (representation budget) -- the frontier
retriever      defense   eps  drift_tv   stance  poison@k    util

TABLE 4  Adaptive attacker (knows the defense)
           defense  lambda  poison@k  drift_tv stance_dv
       multi_query    0.00     0.271    0.1172    0.3056
       multi_query    0.25     1.000    0.4312    0.3113
       multi_query    0.50     1.000    0.4354    0.3113
       multi_query    1.00     1.000    0.4646    0.3113
       multi_query    2.00     1.000    0.4229    0.3113
       multi_query    4.00     1.000    0.3937    0.3113
          manifold    0.00     0.000    0.0000    0.3113
          manifold    0.25     1.000    0.3875    0.3113
          manifold    0.50     1.000    0.4000    0.3113
          manifold    1.00     1.000    0.3750    0.3113
          manifold    2.00     1.000    0.3875    0.3113
          manifold    4.00     1.000    0.3875    0.3113
   repr_conserving    0.00     0.062    0.0125    0.3113
   repr_conserving    0.25     1.000    0.4187    0.3113
   repr_conserving    0.50     1.000    0.4125    0.3113
   repr_conserving    1.00     1.000    0.4312    0.3113
   repr_conserving    2.00     1.000    0.4437    0.3113
   repr_conserving    4.00     1.000    0.4312    0.3113
