n_queries,drift_tv,drift_js,stance_shift,stance_div,stance_onesided,stance_gap,poison_in_topk,poison_share,in_pool_rate,mean_score,defense,lambda,adaptive,usage
48.0,0.18333333333333335,0.1201776047962307,0.45952380952380956,0.26885808157019425,0.45952380952380956,0.746031746031746,0.6458333333333334,0.425,0.041666666666666664,1.187740877790968,multi_query,0.0,True,1.0000000282675974
48.0,0.3791666666666667,0.2785071703543106,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.3702129056814212,multi_query,0.25,True,0.9972111817712022
48.0,0.39375,0.3094759421201334,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.3819302231109793,multi_query,0.5,True,0.991969715040384
48.0,0.3979166666666667,0.2873004820853203,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.385592211312793,multi_query,1.0,True,0.9811989454053983
48.0,0.4104166666666667,0.2832766454729257,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.3924077056700799,multi_query,2.0,True,0.9654427404888162
48.0,0.40625,0.23088669624954625,0.5,0.3112781244591328,0.5,1.0,1.0,1.0,0.0,1.4143133266998298,multi_query,4.0,True,0.949149273538348
48.0,0.05000000000000001,0.04357046764364197,0.5,0.31127812445913283,0.5,0.0,0.0,0.0,0.1125,0.5300815089906683,manifold,0.0,True,1.0000000282675974
48.0,0.48125,0.4587414822667113,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,-3.6307218171672773,manifold,0.25,True,0.9972111817712022
48.0,0.4875,0.4640861484666474,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,-3.4445844540644814,manifold,0.5,True,0.991969715040384
48.0,0.48125,0.4228620060410049,0.5,0.3112781244591328,0.5,1.0,1.0,1.0,0.0,-2.971891268016183,manifold,1.0,True,0.9811989454053983
48.0,0.48124999999999996,0.42892223422123854,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,-1.9581232728172555,manifold,2.0,True,0.9654427404888162
48.0,0.48125,0.5060818049491781,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,-0.19595476277378912,manifold,4.0,True,0.949149273538348
48.0,0.15000000000000002,0.11494944248330236,0.47142857142857136,0.28956534105208576,0.47142857142857136,0.8214285714285714,0.5625,0.41250000000000003,0.06666666666666667,0.9011662311851979,repr_conserving,0.0,True,1.0000000282675974
48.0,0.375,0.35714285714285715,0.5,0.31127812445913283,0.5,nan,1.0,1.0,0.0,1.0895576387643815,repr_conserving,0.25,True,0.9972111817712022
48.0,0.375,0.35714285714285715,0.5,0.31127812445913283,0.5,nan,1.0,1.0,0.0,1.3023181557655334,repr_conserving,0.5,True,0.991969715040384
48.0,0.375,0.35714285714285715,0.5,0.31127812445913283,0.5,nan,1.0,1.0,0.0,1.7278972297906876,repr_conserving,1.0,True,0.9811989454053983
48.0,0.375,0.3076923076923077,0.5,0.31127812445913283,0.5,nan,1.0,1.0,0.0,2.579493486881256,repr_conserving,2.0,True,0.9654427404888162
48.0,0.4000000000000001,0.36363636363636365,0.5,0.3112781244591328,0.5,nan,1.0,1.0,0.0,4.28710150718689,repr_conserving,4.0,True,0.949149273538348
