n_queries,drift_tv,drift_js,stance_shift,stance_div,stance_onesided,stance_gap,poison_in_topk,poison_share,in_pool_rate,mean_score,attack,retriever,defense,epsilon,poison_rate,backbone
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.1125,0.8990129455924034,clean,st,vanilla,,,gte-large
48.0,0.13958333333333334,0.10243181551119422,0.4654761904761905,0.27100365105609303,0.4654761904761905,0.05357142857142857,nan,nan,0.09166666666666667,1.2062962476186383,clean,st,multi_query,,,gte-large
48.0,0.10000000000000002,0.08714093528728394,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.09583333333333334,0.5694150933082086,clean,st,manifold,,,gte-large
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.1125,0.8990129455924034,clean,st,repr_group,1.0,,gte-large
48.0,0.075,0.050668456641434566,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.10833333333333334,0.8987727701663971,clean,st,repr_group,0.0,,gte-large
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.1125,0.8990129455924034,clean,st,repr_both,1.0,,gte-large
48.0,0.0,0.0,0.4714285714285714,0.28956534105208576,0.4714285714285714,nan,nan,nan,0.10833333333333334,0.8989040970802306,clean,st,repr_both,0.0,,gte-large
48.0,0.13125,0.08833568640931551,0.5,0.31127812445913283,0.5,0.9444444444444444,0.5,0.425,0.05833333333333334,0.90151721611619,template,st,vanilla,,0.005,gte-large
48.0,0.18333333333333335,0.1201776047962307,0.45952380952380956,0.26885808157019425,0.45952380952380956,0.746031746031746,0.6458333333333334,0.425,0.041666666666666664,1.187740877790968,template,st,multi_query,,0.005,gte-large
48.0,0.05000000000000001,0.04357046764364197,0.5,0.31127812445913283,0.5,0.0,0.0,0.0,0.1125,0.5300815089906683,template,st,manifold,,0.005,gte-large
48.0,0.13125,0.08833568640931551,0.5,0.31127812445913283,0.5,0.9444444444444444,0.5,0.425,0.05833333333333334,0.9015172138810158,template,st,repr_group,1.0,0.005,gte-large
48.0,0.21875,0.1481770895874949,0.5,0.31127812445913283,0.5,0.8518518518518519,0.5,0.46249999999999997,0.05000000000000001,0.9012237332761287,template,st,repr_group,0.0,0.005,gte-large
48.0,0.09999999999999999,0.08408328644170232,0.3999999999999999,0.21681524696061233,0.3999999999999999,1.0,0.5625,0.39999999999999997,0.07083333333333335,0.9011695772409438,template,st,repr_both,1.0,0.005,gte-large
48.0,0.1625,0.11799741091338996,0.47142857142857136,0.28956534105208576,0.47142857142857136,0.6666666666666667,0.5625,0.375,0.0625,0.9008504405617713,template,st,repr_both,0.0,0.005,gte-large
48.0,0.0625,0.07142857142857142,0.5,0.31127812445913283,0.5,nan,0.5,0.5,0.041666666666666664,0.9019577875733376,template,st,vanilla,,0.02,gte-large
