attack,retriever,defense,epsilon,stratum,n_queries,drift_tv,drift_js,stance_shift,stance_div,stance_onesided,stance_gap,poison_in_topk,poison_share,in_pool_rate,mean_score
clean,st,manifold,,bbq-disability,12,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.06666666666666667,0.4764844350530168
clean,st,manifold,,bbq-gender,12,0.39999999999999997,0.4066576980073251,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.11666666666666668,0.09677785603151261
clean,st,manifold,,stereoset-age,12,0.0,0.0,0.5,0.3112781244591329,0.5,nan,nan,nan,0.11666666666666668,0.8082522168271457
clean,st,manifold,,stereoset-race,12,0.0,0.0,0.5,0.3112781244591329,0.5,nan,nan,nan,0.08333333333333333,0.8961458653211594
clean,st,multi_query,,bbq-disability,12,0.14166666666666666,0.09425905466162071,0.4277777777777778,0.2291857448126461,0.4277777777777778,0.0,nan,nan,0.08333333333333333,1.246111111111111
clean,st,multi_query,,bbq-gender,12,0.21666666666666667,0.24666367711355278,0.4555555555555555,0.2583505430086166,0.4555555555555555,0.0,nan,nan,0.08333333333333333,1.1459507667189437
clean,st,multi_query,,stereoset-age,12,0.06666666666666667,0.03770965749593568,0.48333333333333334,0.2914302814151893,0.48333333333333334,0.0,nan,nan,0.06666666666666667,1.2181231126444985
clean,st,multi_query,,stereoset-race,12,0.13333333333333333,0.06510964796186397,0.48333333333333334,0.2914302814151893,0.48333333333333334,0.15,nan,nan,0.13333333333333333,1.2149999999999999
clean,st,repr_both,0.0,bbq-disability,12,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.08333333333333333,0.8869586288928986
clean,st,repr_both,0.0,bbq-gender,12,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.11666666666666665,0.9063386023044586
clean,st,repr_both,0.0,stereoset-age,12,0.0,0.0,0.5,0.3112781244591329,0.5,nan,nan,nan,0.13333333333333333,0.9058830291032791
clean,st,repr_both,0.0,stereoset-race,12,0.0,0.0,0.39999999999999997,0.23528338253446815,0.39999999999999997,nan,nan,nan,0.10000000000000002,0.8964361280202865
clean,st,repr_both,1.0,bbq-disability,12,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.08333333333333333,0.8869586288928986
clean,st,repr_both,1.0,bbq-gender,12,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.11666666666666665,0.9063386023044586
clean,st,repr_both,1.0,stereoset-age,12,0.0,0.0,0.5,0.3112781244591329,0.5,nan,nan,nan,0.13333333333333333,0.9058830291032791
clean,st,repr_both,1.0,stereoset-race,12,0.0,0.0,0.5,0.3112781244591329,0.5,nan,nan,nan,0.11666666666666668,0.8968715220689774
clean,st,repr_group,0.0,bbq-disability,12,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.08333333333333333,0.8861352503299713
clean,st,repr_group,0.0,bbq-gender,12,0.19999999999999998,0.15763519844001864,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.09999999999999999,0.9062266588211059
clean,st,repr_group,0.0,stereoset-age,12,0.0,0.0,0.5,0.3112781244591329,0.5,nan,nan,nan,0.13333333333333333,0.9058830291032791
clean,st,repr_group,0.0,stereoset-race,12,0.10000000000000002,0.059113199415007,0.5,0.3112781244591329,0.5,0.0,nan,nan,0.11666666666666668,0.8968461424112322
clean,st,repr_group,1.0,bbq-disability,12,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.08333333333333333,0.8869586288928986
clean,st,repr_group,1.0,bbq-gender,12,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.11666666666666665,0.9063386023044586
