n_queries,drift_tv,drift_js,stance_shift,stance_div,stance_onesided,stance_gap,poison_in_topk,poison_share,in_pool_rate,mean_score,attack,retriever,defense,epsilon,poison_rate,backbone
48.0,0.0,0.0,0.4666666666666667,0.2859465438175779,0.4666666666666667,0.0,nan,nan,0.08333333333333333,5.047132853339494,clean,bm25,vanilla,,,
48.0,0.02604166666666667,0.001695686886175787,0.4481981981981983,0.26560975134132675,0.4481981981981983,0.09876543209876543,nan,nan,0.075,1.3757608826358825,clean,bm25,multi_query,,,
48.0,0.0,0.0,0.4666666666666667,0.2859465438175779,0.4666666666666667,0.0,nan,nan,0.08333333333333333,5.047132853339494,clean,bm25,repr_group,1.0,,
48.0,0.05000000000000001,0.025512992231615197,0.5,0.3112781244591328,0.5,0.0,nan,nan,0.08333333333333333,5.047132853339494,clean,bm25,repr_group,0.0,,
48.0,0.0,0.0,0.4833333333333333,0.29143028141518923,0.4833333333333333,0.0,nan,nan,0.08333333333333333,5.047132853339494,clean,bm25,repr_both,1.0,,
48.0,0.025000000000000005,0.019704399805002333,0.4166666666666667,0.23863880325032666,0.4166666666666667,0.04999999999999998,nan,nan,0.07083333333333335,5.047132853339494,clean,bm25,repr_both,0.0,,
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.09583333333333333,0.898413147777319,clean,st,vanilla,,,gte-base
48.0,0.09427083333333335,0.054475244098027384,0.49523809523809526,0.30560731216086323,0.49523809523809526,0.0,nan,nan,0.08749999999999998,1.2195976772925954,clean,st,multi_query,,,gte-base
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.09583333333333333,0.5590609918759543,clean,st,manifold,,,gte-base
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.09583333333333333,0.8984131328761578,clean,st,repr_group,1.0,,gte-base
48.0,0.08750000000000001,0.05838499565183458,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.10416666666666667,0.8982758484780788,clean,st,repr_group,0.0,,gte-base
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.09583333333333333,0.8984131328761578,clean,st,repr_both,1.0,,gte-base
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.09583333333333333,0.8984131328761578,clean,st,repr_both,0.0,,gte-base
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.09583333333333333,0.564379470422864,clean,st,vanilla,,,contriever
48.0,0.11979166666666667,0.08812613369648846,0.4666666666666667,0.2797904986262927,0.4666666666666667,0.11309523809523811,nan,nan,0.08333333333333333,1.2192213734758806,clean,st,multi_query,,,contriever
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.09583333333333333,0.2505574127262964,clean,st,manifold,,,contriever
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.09583333333333333,0.5643794722855091,clean,st,repr_group,1.0,,contriever
48.0,0.025000000000000005,0.016889485547144856,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.08750000000000001,0.564216947555542,clean,st,repr_group,0.0,,contriever
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.09583333333333333,0.5643794722855091,clean,st,repr_both,1.0,,contriever
48.0,0.025000000000000005,0.016889485547144856,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.08750000000000001,0.564247814565897,clean,st,repr_both,0.0,,contriever
48.0,0.1625,0.08056614838779202,0.5,0.3112781244591328,0.5,0.7435897435897436,0.75,0.6875,0.012499999999999999,6.958740294841064,template,bm25,vanilla,,0.005,
48.0,0.16701388888888888,0.07081870402061957,0.5,0.31127812445913283,0.5,0.7017543859649124,0.75,0.6041666666666666,0.016666666666666666,1.347788263297792,template,bm25,multi_query,,0.005,
48.0,0.1625,0.08056614838779202,0.5,0.3112781244591328,0.5,0.7435897435897436,0.75,0.6875,0.012499999999999999,6.958740294841064,template,bm25,repr_group,1.0,0.005,
48.0,0.1875,0.07540280872710806,0.5,0.3112781244591328,0.5,0.7051282051282052,0.75,0.6875,0.012499999999999999,6.7285340899512205,template,bm25,repr_group,0.0,0.005,
48.0,0.325,0.3308320992146736,0.45384615384615384,0.2695740410571341,0.45384615384615384,0.16666666666666666,0.75,0.6250000000000001,0.016666666666666666,6.680268646977048,template,bm25,repr_both,1.0,0.005,
48.0,0.16874999999999998,0.09290860028660355,0.47435897435897434,0.2889275640871924,0.47435897435897434,0.5769230769230769,0.75,0.6125,0.016666666666666666,6.772571587239789,template,bm25,repr_both,0.0,0.005,
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,0.0625,0.025000000000000005,0.09583333333333333,0.8984345756471157,template,st,vanilla,,0.005,gte-base
48.0,0.1171875,0.07435491869078446,0.49523809523809526,0.30560731216086323,0.49523809523809526,0.30357142857142855,0.2708333333333333,0.0625,0.08749999999999998,1.2020780109526896,template,st,multi_query,,0.005,gte-base
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,0.0,0.0,0.09583333333333333,0.5590609941111284,template,st,manifold,,0.005,gte-base
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,0.0625,0.025000000000000005,0.09583333333333333,0.898434565961361,template,st,repr_group,1.0,0.005,gte-base
48.0,0.08750000000000001,0.05838499565183458,0.5,0.31127812445913283,0.5,0.125,0.125,0.0375,0.10416666666666667,0.8983103983104229,template,st,repr_group,0.0,0.005,gte-base
48.0,0.0375,0.028272543000239878,0.5,0.31127812445913283,0.5,0.3333333333333333,0.125,0.0375,0.09583333333333333,0.8983945414423943,template,st,repr_both,1.0,0.005,gte-base
48.0,0.012499999999999999,0.007716539010400009,0.5,0.31127812445913283,0.5,0.0,0.0625,0.025000000000000005,0.09583333333333333,0.8984168522059918,template,st,repr_both,0.0,0.005,gte-base
48.0,0.17500000000000004,0.12801789537936625,0.5,0.31127812445913283,0.5,0.9444444444444444,0.5625,0.525,0.025000000000000005,0.5783680304884911,template,st,vanilla,,0.005,contriever
48.0,0.25,0.17651080152602908,0.49523809523809526,0.3056073121608633,0.49523809523809526,0.7708333333333334,0.8958333333333334,0.5791666666666667,0.016666666666666666,1.2309126349012793,template,st,multi_query,,0.005,contriever
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,0.0,0.0,0.09583333333333333,0.2505574127262964,template,st,manifold,,0.005,contriever
48.0,0.17500000000000004,0.12801789537936625,0.5,0.31127812445913283,0.5,0.9444444444444444,0.5625,0.525,0.025000000000000005,0.5783680357038975,template,st,repr_group,1.0,0.005,contriever
48.0,0.2125,0.14649894183025386,0.5,0.31127812445913283,0.5,0.8333333333333334,0.5625,0.525,0.016666666666666666,0.5780484981834889,template,st,repr_group,0.0,0.005,contriever
48.0,0.20000000000000004,0.16449037402521563,0.45714285714285713,0.27255290415727695,0.45714285714285713,1.0,0.5625,0.425,0.03333333333333333,0.5760385792702437,template,st,repr_both,1.0,0.005,contriever
48.0,0.23750000000000002,0.1692650567364439,0.5,0.31127812445913283,0.5,0.7083333333333334,0.5625,0.45,0.020833333333333332,0.5762987151741982,template,st,repr_both,0.0,0.005,contriever
48.0,0.11875000000000001,0.037342688673306264,0.5,0.3112781244591328,0.5,0.7,0.75,0.75,0.0,6.393764404179389,template,bm25,vanilla,,0.02,
48.0,0.12604166666666666,0.034407151119031046,0.5,0.31127812445913283,0.5,0.6888888888888888,0.75,0.6583333333333333,0.012499999999999999,1.3467010662859427,template,bm25,multi_query,,0.02,
48.0,0.11875000000000001,0.037342688673306264,0.5,0.3112781244591328,0.5,0.7,0.75,0.75,0.0,6.393764404179389,template,bm25,repr_group,1.0,0.02,
48.0,0.18125,0.07965578449661734,0.5,0.3112781244591328,0.5,0.7692307692307693,0.75,0.75,0.0,6.383636671864987,template,bm25,repr_group,0.0,0.02,
48.0,0.40625,0.4126344449712049,0.5,0.3112781244591328,0.5,0.0,0.75,0.75,0.0,6.368445073393384,template,bm25,repr_both,1.0,0.02,
48.0,0.18125,0.11175062177825495,0.47435897435897434,0.2889275640871924,0.47435897435897434,0.782051282051282,0.75,0.75,0.0,6.378572805707786,template,bm25,repr_both,0.0,0.02,
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,0.0625,0.0625,0.09583333333333333,0.8984667211771011,template,st,vanilla,,0.02,gte-base
48.0,0.14010416666666667,0.09090474415831624,0.49523809523809526,0.30560731216086323,0.49523809523809526,0.3611111111111111,0.25,0.09166666666666667,0.07916666666666668,1.182302676341793,template,st,multi_query,,0.02,gte-base
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,0.0,0.0,0.09583333333333333,0.5590609918759543,template,st,manifold,,0.02,gte-base
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,0.0625,0.0625,0.09583333333333333,0.8984667100012302,template,st,repr_group,1.0,0.02,gte-base
48.0,0.08750000000000001,0.05838499565183458,0.5,0.31127812445913283,0.5,0.25,0.125,0.08749999999999998,0.10416666666666667,0.898355657607317,template,st,repr_group,0.0,0.02,gte-base
48.0,0.0375,0.028272543000239878,0.5,0.31127812445913283,0.5,1.0,0.125,0.10000000000000002,0.09583333333333333,0.8984529167413712,template,st,repr_both,1.0,0.02,gte-base
48.0,0.0375,0.028272543000239878,0.5,0.31127812445913283,0.5,1.0,0.125,0.10000000000000002,0.09583333333333333,0.8984529167413712,template,st,repr_both,0.0,0.02,gte-base
48.0,0.0625,0.07142857142857142,0.5,0.31127812445913283,0.5,nan,0.5625,0.5625,0.020833333333333332,0.5817931350320578,template,st,vanilla,,0.02,contriever
48.0,0.13541666666666666,0.10968663787477843,0.49523809523809526,0.3056073121608633,0.49523809523809526,0.6071428571428571,0.8958333333333334,0.65,0.012500000000000002,1.2097171901123092,template,st,multi_query,,0.02,contriever
48.0,0.19999999999999998,0.20331709604792966,0.5,0.31127812445913283,0.5,1.0,0.5625,0.5125000000000001,0.029166666666666664,-4.148447387033641,template,st,manifold,,0.02,contriever
48.0,0.0625,0.07142857142857142,0.5,0.31127812445913283,0.5,nan,0.5625,0.5625,0.020833333333333332,0.5817931350320578,template,st,repr_group,1.0,0.02,contriever
48.0,0.1875,0.129609456283109,0.5,0.31127812445913283,0.5,0.8571428571428571,0.5625,0.5625,0.012500000000000002,0.5799412038177252,template,st,repr_group,0.0,0.02,contriever
48.0,0.23749999999999996,0.2578561819293563,0.5,0.31127812445913283,0.5,1.0,0.5625,0.5625,0.020833333333333332,0.5787863660603761,template,st,repr_both,1.0,0.02,contriever
48.0,0.19999999999999998,0.17313568597643592,0.5,0.31127812445913283,0.5,0.75,0.5625,0.5625,0.012500000000000002,0.5796455133706332,template,st,repr_both,0.0,0.02,contriever
48.0,0.1625,0.08056614838779202,0.5,0.3112781244591328,0.5,0.7435897435897436,0.75,0.6875,0.012499999999999999,6.958740294841064,template_plus_projection,bm25,vanilla,,0.005,
48.0,0.16701388888888888,0.07081870402061957,0.5,0.31127812445913283,0.5,0.7017543859649124,0.75,0.6041666666666666,0.016666666666666666,1.347788263297792,template_plus_projection,bm25,multi_query,,0.005,
48.0,0.1625,0.08056614838779202,0.5,0.3112781244591328,0.5,0.7435897435897436,0.75,0.6875,0.012499999999999999,6.958740294841064,template_plus_projection,bm25,repr_group,1.0,0.005,
48.0,0.1875,0.07540280872710806,0.5,0.3112781244591328,0.5,0.7051282051282052,0.75,0.6875,0.012499999999999999,6.7285340899512205,template_plus_projection,bm25,repr_group,0.0,0.005,
48.0,0.325,0.3308320992146736,0.45384615384615384,0.2695740410571341,0.45384615384615384,0.16666666666666666,0.75,0.6250000000000001,0.016666666666666666,6.680268646977048,template_plus_projection,bm25,repr_both,1.0,0.005,
48.0,0.16874999999999998,0.09290860028660355,0.47435897435897434,0.2889275640871924,0.47435897435897434,0.5769230769230769,0.75,0.6125,0.016666666666666666,6.772571587239789,template_plus_projection,bm25,repr_both,0.0,0.005,
48.0,0.46875,0.38814687105003337,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.718090958893299,template_plus_projection,st,vanilla,,0.005,gte-base
48.0,0.46458333333333335,0.3605643050984857,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.4169349016588864,template_plus_projection,st,multi_query,,0.005,gte-base
48.0,0.375,0.42046485775324316,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,-2.707612839334581,template_plus_projection,st,manifold,,0.005,gte-base
48.0,0.46875,0.38814687105003337,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.7180909484624862,template_plus_projection,st,repr_group,1.0,0.005,gte-base
48.0,0.45,0.31127812445913283,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.6997028440237045,template_plus_projection,st,repr_group,0.0,0.005,gte-base
48.0,0.44375000000000003,0.42857142857142855,0.5,0.31127812445913283,0.5,nan,1.0,1.0,0.0,1.7046843379735945,template_plus_projection,st,repr_both,1.0,0.005,gte-base
48.0,0.4000000000000001,0.2382943951676977,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.706182396411896,template_plus_projection,st,repr_both,0.0,0.005,gte-base
48.0,0.36874999999999997,0.2663467582515391,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.027340441942215,template_plus_projection,st,vanilla,,0.005,contriever
48.0,0.3520833333333333,0.24813657770406736,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.3661808210138358,template_plus_projection,st,multi_query,,0.005,contriever
48.0,0.34375,0.23757164902086686,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,-8.196440263375747,template_plus_projection,st,manifold,,0.005,contriever
48.0,0.36874999999999997,0.2663467582515391,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.0273404471576215,template_plus_projection,st,repr_group,1.0,0.005,contriever
48.0,0.4312500000000001,0.30267786589927403,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,0.9982971884310246,template_plus_projection,st,repr_group,0.0,0.005,contriever
48.0,0.6625,0.8292847533579278,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,0.9895414374768734,template_plus_projection,st,repr_both,1.0,0.005,contriever
