attack,retriever,defense,epsilon,stratum,n_queries,drift_tv,drift_js,stance_shift,stance_div,stance_onesided,stance_gap,poison_in_topk,poison_share,in_pool_rate,mean_score
clean,bm25,multi_query,,bbq-disability,12,0.008333333333333331,0.0,0.4666666666666666,0.2715824383712457,0.4666666666666666,nan,nan,nan,0.06666666666666667,1.3738095238095236
clean,bm25,multi_query,,bbq-gender,12,0.0,0.0,0.5,0.31127812445913283,0.5,0.14814814814814814,nan,nan,0.08333333333333333,1.3783333333333332
clean,bm25,multi_query,,stereoset-age,12,0.05833333333333334,0.0005754931866147231,0.395,0.22423401254302763,0.395,0.0,nan,nan,0.06666666666666667,1.4092340067340068
clean,bm25,multi_query,,stereoset-race,12,0.037500000000000006,0.0046554407685663185,0.4444444444444445,0.26285191031992877,0.4444444444444445,0.11111111111111112,nan,nan,0.08333333333333333,1.3416666666666666
clean,bm25,repr_both,0.0,bbq-disability,12,0.0,0.0,0.5,0.3112781244591329,0.5,nan,nan,nan,0.08333333333333333,4.091820111428157
clean,bm25,repr_both,0.0,bbq-gender,12,0.0,0.0,0.27777777777777773,0.11757326790231641,0.27777777777777773,0.11111111111111109,nan,nan,0.03333333333333333,7.154265912192838
clean,bm25,repr_both,0.0,stereoset-age,12,0.10000000000000002,0.07881759922000933,0.38888888888888884,0.2144256961807246,0.38888888888888884,0.055555555555555546,nan,nan,0.08333333333333333,4.161527067594889
clean,bm25,repr_both,0.0,stereoset-race,12,0.0,0.0,0.5,0.3112781244591329,0.5,0.0,nan,nan,0.08333333333333333,4.7809183221420914
clean,bm25,repr_both,1.0,bbq-disability,12,0.0,0.0,0.5,0.3112781244591329,0.5,nan,nan,nan,0.08333333333333333,4.091820111428157
clean,bm25,repr_both,1.0,bbq-gender,12,0.0,0.0,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.08333333333333333,7.154265912192838
clean,bm25,repr_both,1.0,stereoset-age,12,0.0,0.0,0.43333333333333335,0.23188675228335848,0.43333333333333335,0.0,nan,nan,0.08333333333333333,4.161527067594889
clean,bm25,repr_both,1.0,stereoset-race,12,0.0,0.0,0.5,0.3112781244591329,0.5,0.0,nan,nan,0.08333333333333333,4.7809183221420914
clean,bm25,repr_group,0.0,bbq-disability,12,0.0,0.0,0.5,0.3112781244591329,0.5,nan,nan,nan,0.08333333333333333,4.091820111428157
clean,bm25,repr_group,0.0,bbq-gender,12,0.0,0.0,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.08333333333333333,7.154265912192838
clean,bm25,repr_group,0.0,stereoset-age,12,0.19999999999999998,0.1020519689264608,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.08333333333333333,4.161527067594889
clean,bm25,repr_group,0.0,stereoset-race,12,0.0,0.0,0.5,0.3112781244591329,0.5,0.0,nan,nan,0.08333333333333333,4.7809183221420914
clean,bm25,repr_group,1.0,bbq-disability,12,0.0,0.0,0.5,0.3112781244591329,0.5,nan,nan,nan,0.08333333333333333,4.091820111428157
clean,bm25,repr_group,1.0,bbq-gender,12,0.0,0.0,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.08333333333333333,7.154265912192838
clean,bm25,repr_group,1.0,stereoset-age,12,0.0,0.0,0.3666666666666667,0.2099518018929132,0.3666666666666667,0.0,nan,nan,0.08333333333333333,4.161527067594889
clean,bm25,repr_group,1.0,stereoset-race,12,0.0,0.0,0.5,0.3112781244591329,0.5,0.0,nan,nan,0.08333333333333333,4.7809183221420914
clean,bm25,vanilla,,bbq-disability,12,0.0,0.0,0.5,0.3112781244591329,0.5,nan,nan,nan,0.08333333333333333,4.091820111428157
clean,bm25,vanilla,,bbq-gender,12,0.0,0.0,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.08333333333333333,7.154265912192838
clean,bm25,vanilla,,stereoset-age,12,0.0,0.0,0.3666666666666667,0.2099518018929132,0.3666666666666667,0.0,nan,nan,0.08333333333333333,4.161527067594889
clean,bm25,vanilla,,stereoset-race,12,0.0,0.0,0.5,0.3112781244591329,0.5,0.0,nan,nan,0.08333333333333333,4.7809183221420914
clean,st,manifold,,bbq-disability,24,0.0,0.0,0.5,0.3112781244591328,0.5,nan,nan,nan,0.11666666666666665,0.20295824217783487
clean,st,manifold,,bbq-gender,24,0.0,0.0,0.5,0.3112781244591328,0.5,nan,nan,nan,0.13333333333333333,0.3179622624535448
clean,st,manifold,,stereoset-age,24,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.09166666666666667,0.3837856242445141
clean,st,manifold,,stereoset-race,24,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.041666666666666664,0.7145306803286076
clean,st,multi_query,,bbq-disability,24,0.078125,0.03695925542890905,0.5,0.3112781244591328,0.5,0.0,nan,nan,0.10833333333333334,1.2212419628373576
clean,st,multi_query,,bbq-gender,24,0.008333333333333333,0.006001752563644451,0.48888888888888893,0.29804622909650375,0.48888888888888893,0.0,nan,nan,0.10000000000000002,1.1952600801292124
clean,st,multi_query,,stereoset-age,24,0.14166666666666666,0.10165918670334655,0.47500000000000003,0.28868841261638356,0.47500000000000003,0.19791666666666669,nan,nan,0.075,1.2548621068471026
clean,st,multi_query,,stereoset-race,24,0.19999999999999998,0.11567246844264102,0.4666666666666666,0.27876449109441176,0.4666666666666666,0.0,nan,nan,0.05833333333333333,1.20627395172328
clean,st,repr_both,0.0,bbq-disability,24,0.0,0.0,0.5,0.3112781244591328,0.5,nan,nan,nan,0.11666666666666665,0.711974773555994
clean,st,repr_both,0.0,bbq-gender,24,0.05000000000000001,0.039408799610004666,0.5,0.3112781244591328,0.5,0.0,nan,nan,0.11666666666666668,0.7537465497851373
clean,st,repr_both,0.0,stereoset-age,24,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.09166666666666667,0.7450698912143707
clean,st,repr_both,0.0,stereoset-race,24,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.041666666666666664,0.7145306803286076
