n_queries,drift_tv,drift_js,stance_shift,stance_div,stance_onesided,stance_gap,poison_in_topk,poison_share,in_pool_rate,mean_score,defense,lambda,adaptive,usage
144.0,0.1,0.04256720575819791,0.46125,0.27856709425836956,0.46125,0.8364197530864197,0.3472222222222222,0.10972222222222223,0.4819444444444445,1.2433117787741466,multi_query,0.0,True,1.0
144.0,0.14305555555555557,0.08601794066724132,0.4642450142450142,0.2806594648783768,0.4642450142450142,0.7994791666666667,0.8263888888888888,0.4208333333333334,0.40555555555555556,1.2241314930916432,multi_query,0.25,True,0.996678843220557
144.0,0.18194444444444446,0.11948741301393136,0.47109144542772863,0.28681506941404156,0.47109144542772863,0.8452380952380952,0.9722222222222222,0.6472222222222223,0.2916666666666667,1.222006647506009,multi_query,0.5,True,0.9878000580948724
144.0,0.23124999999999998,0.15214181788503098,0.478816199376947,0.2949620132178741,0.478816199376947,0.8934426229508197,0.9930555555555556,0.8611111111111112,0.1111111111111111,1.2455917636252245,multi_query,1.0,True,0.9591489463895624
144.0,0.26458333333333334,0.184259651496236,0.5,0.3112781244591329,0.5,0.9449152542372882,1.0,0.9500000000000001,0.04027777777777778,1.2887920259541883,multi_query,2.0,True,0.8855437448577318
144.0,0.275,0.1903688779646333,0.5,0.31127812445913283,0.5,0.9509803921568627,1.0,0.9666666666666666,0.025,1.3437806476763134,multi_query,4.0,True,0.7561411960904197
144.0,0.14444444444444446,0.10080668873879937,0.4731958762886597,0.28975660151789256,0.4731958762886597,0.9051724137931034,0.04861111111111111,0.0125,0.5569444444444445,-0.018972906123638274,manifold,0.0,True,1.0
144.0,0.13958333333333334,0.09419613204731064,0.4804123711340206,0.29621225699436554,0.4804123711340206,0.8836477987421384,0.2916666666666667,0.10972222222222222,0.5166666666666667,-0.03270781884346879,manifold,0.25,True,0.996678843220557
144.0,0.16597222222222222,0.12028822450525246,0.4855769230769231,0.3022989477920425,0.4855769230769231,0.8653846153846154,0.5972222222222222,0.41805555555555557,0.43333333333333335,-0.07961621507778743,manifold,0.5,True,0.9878000580948724
144.0,0.22708333333333336,0.15941936664347697,0.4956989247311828,0.3080095334086097,0.4956989247311828,0.9378531073446327,0.8541666666666666,0.7916666666666666,0.18333333333333332,-0.08831648800165887,manifold,1.0,True,0.9591489463895624
144.0,0.26180555555555557,0.2160612172353401,0.5,0.3112781244591329,0.5,1.0,0.9930555555555556,0.9902777777777777,0.006944444444444444,0.009885859489277726,manifold,2.0,True,0.8855437448577318
144.0,0.2701388888888889,0.20081614113928692,0.5,0.3112781244591329,0.5,1.0,1.0,1.0,0.0,0.4872060170406855,manifold,4.0,True,0.7561411960904197
144.0,0.1756944444444445,0.13401944517187045,0.45576923076923076,0.2713730267433387,0.45576923076923076,0.8409090909090909,0.25,0.08472222222222221,0.5097222222222222,0.4966483971567569,repr_conserving,0.0,True,1.0
144.0,0.2048611111111111,0.15499543332591514,0.44082568807339456,0.2562431928050597,0.44082568807339456,0.782608695652174,0.7569444444444444,0.3111111111111111,0.4222222222222222,0.5085929817802085,repr_conserving,0.25,True,0.996678843220557
144.0,0.22986111111111113,0.20620220103279122,0.46096491228070174,0.27719866327052495,0.46096491228070174,0.8463541666666667,0.9305555555555556,0.6291666666666667,0.30000000000000004,0.5416063075669935,repr_conserving,0.5,True,0.9878000580948724
144.0,0.2569444444444444,0.2572539739882581,0.48366013071895425,0.29703512030054346,0.48366013071895425,0.8805031446540879,0.9861111111111112,0.9083333333333334,0.08333333333333333,0.6532646634440992,repr_conserving,1.0,True,0.9591489463895624
144.0,0.2756944444444444,0.3321875153350607,0.4923371647509579,0.30459864664682884,0.4923371647509579,1.0,1.0,0.9902777777777777,0.006944444444444444,0.9327042365586483,repr_conserving,2.0,True,0.8855437448577318
144.0,0.2743055555555556,0.25804855575156266,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.5469756506331298,repr_conserving,4.0,True,0.7561411960904197
