n_queries,drift_tv,drift_js,stance_shift,stance_div,stance_onesided,stance_gap,poison_in_topk,poison_share,in_pool_rate,mean_score,attack,retriever,defense,epsilon,poison_rate
144.0,0.0,0.0,0.5,0.3112781244591329,0.5,1.0,nan,nan,0.9944444444444444,15.548117344909794,clean,bm25,vanilla,,
144.0,0.04027777777777777,0.016280849299009678,0.4962962962962963,0.30760637861633744,0.4962962962962963,0.9290780141843973,nan,nan,0.9249999999999999,1.3813449843214134,clean,bm25,multi_query,,
144.0,0.0,0.0,0.5,0.3112781244591329,0.5,1.0,nan,nan,0.9944444444444444,15.548117344909794,clean,bm25,repr_group,1.0,
144.0,0.0,0.0,0.5,0.3112781244591329,0.5,1.0,nan,nan,0.9944444444444444,15.548117344909794,clean,bm25,repr_group,0.5,
144.0,0.04722222222222223,0.02550744839548892,0.5,0.3112781244591329,0.5,1.0,nan,nan,0.9944444444444444,15.539629990202242,clean,bm25,repr_group,0.25,
144.0,0.10138888888888889,0.05703925620305096,0.5,0.3112781244591329,0.5,1.0,nan,nan,0.9944444444444444,15.530763525907503,clean,bm25,repr_group,0.1,
144.0,0.10138888888888889,0.05703925620305096,0.5,0.3112781244591329,0.5,1.0,nan,nan,0.9944444444444444,15.530763525907503,clean,bm25,repr_group,0.0,
144.0,0.12430555555555554,0.05707318530512046,0.5,0.3112781244591329,0.5,1.0,nan,nan,0.9958333333333333,15.532436864220013,clean,bm25,repr_stance,1.0,
144.0,0.12430555555555554,0.05707318530512046,0.5,0.3112781244591329,0.5,1.0,nan,nan,0.9958333333333333,15.532436864220013,clean,bm25,repr_stance,0.5,
144.0,0.12430555555555554,0.05707318530512046,0.5,0.3112781244591329,0.5,1.0,nan,nan,0.9958333333333333,15.532436864220013,clean,bm25,repr_stance,0.25,
144.0,0.12430555555555554,0.05707318530512046,0.5,0.3112781244591329,0.5,1.0,nan,nan,0.9958333333333333,15.532436864220013,clean,bm25,repr_stance,0.1,
144.0,0.12430555555555554,0.05707318530512046,0.5,0.3112781244591329,0.5,1.0,nan,nan,0.9958333333333333,15.532436864220013,clean,bm25,repr_stance,0.0,
144.0,0.3763888888888889,0.2572711378905881,0.5,0.3112781244591329,0.5,1.0,nan,nan,0.9972222222222222,15.513581005783855,clean,bm25,repr_both,1.0,
144.0,0.3763888888888889,0.2572711378905881,0.5,0.3112781244591329,0.5,1.0,nan,nan,0.9972222222222222,15.513581005783855,clean,bm25,repr_both,0.5,
144.0,0.2513888888888889,0.10796545382510157,0.5,0.3112781244591329,0.5,1.0,nan,nan,0.9972222222222222,15.52501676029747,clean,bm25,repr_both,0.25,
144.0,0.12430555555555554,0.05707318530512046,0.5,0.3112781244591329,0.5,1.0,nan,nan,0.9958333333333333,15.532436864220013,clean,bm25,repr_both,0.1,
144.0,0.12430555555555554,0.05707318530512046,0.5,0.3112781244591329,0.5,1.0,nan,nan,0.9958333333333333,15.532436864220013,clean,bm25,repr_both,0.0,
144.0,0.0,0.0,0.4752577319587628,0.292475301714886,0.4752577319587628,0.9326241134751772,nan,nan,0.5569444444444444,0.5002045959188484,clean,dense,vanilla,,
144.0,0.09166666666666666,0.03268863150900206,0.46285310734463275,0.2801448378091258,0.46285310734463275,0.8683333333333334,nan,nan,0.5097222222222223,1.253598985429272,clean,dense,multi_query,,
144.0,0.15000000000000002,0.10474875376800642,0.48762886597938143,0.3018767130870094,0.48762886597938143,0.925,nan,nan,0.5708333333333333,-0.011747508202870885,clean,dense,manifold,,
144.0,0.0,0.0,0.4752577319587628,0.292475301714886,0.4752577319587628,0.9326241134751772,nan,nan,0.5569444444444444,0.5002045959188484,clean,dense,repr_group,1.0,
144.0,0.0,0.0,0.4752577319587628,0.292475301714886,0.4752577319587628,0.9326241134751772,nan,nan,0.5569444444444444,0.5002045959188484,clean,dense,repr_group,0.5,
144.0,0.05416666666666667,0.03920762016162901,0.49607843137254903,0.3082979385013029,0.49607843137254903,0.928861788617886,nan,nan,0.5625,0.49866089325092466,clean,dense,repr_group,0.25,
144.0,0.12013888888888889,0.0868390763694982,0.4766990291262136,0.2914012052677736,0.4766990291262136,0.9126016260162602,nan,nan,0.5666666666666667,0.49666584652410173,clean,dense,repr_group,0.1,
144.0,0.12430555555555554,0.0873576729552041,0.47692307692307695,0.2915923294907674,0.47692307692307695,0.9146825396825398,nan,nan,0.5680555555555555,0.49637079064757383,clean,dense,repr_group,0.0,
144.0,0.11874999999999998,0.0858847943271358,0.4766990291262136,0.2914012052677736,0.4766990291262136,0.8282828282828283,nan,nan,0.5402777777777779,0.49573790405533635,clean,dense,repr_stance,1.0,
144.0,0.11874999999999998,0.0858847943271358,0.4766990291262136,0.2914012052677736,0.4766990291262136,0.8282828282828283,nan,nan,0.5402777777777779,0.49573790405533635,clean,dense,repr_stance,0.5,
144.0,0.12013888888888886,0.08680912108202214,0.45501618122977344,0.2741440573891455,0.45501618122977344,0.8156565656565657,nan,nan,0.5486111111111112,0.4959606751890073,clean,dense,repr_stance,0.25,
144.0,0.12013888888888886,0.08680912108202214,0.45501618122977344,0.2741440573891455,0.45501618122977344,0.8257575757575757,nan,nan,0.5472222222222223,0.4959010783634532,clean,dense,repr_stance,0.1,
144.0,0.12013888888888886,0.08680912108202214,0.45501618122977344,0.2741440573891455,0.45501618122977344,0.8257575757575757,nan,nan,0.5486111111111112,0.49596198014539206,clean,dense,repr_stance,0.0,
144.0,0.21250000000000002,0.23217362492623983,0.472108843537415,0.28970229699967187,0.472108843537415,0.6176470588235294,nan,nan,0.5444444444444445,0.49580393158151714,clean,dense,repr_both,1.0,
144.0,0.21250000000000002,0.23217362492623983,0.472108843537415,0.28970229699967187,0.472108843537415,0.6176470588235294,nan,nan,0.5444444444444445,0.49580393158151714,clean,dense,repr_both,0.5,
144.0,0.16875000000000004,0.12985757026459613,0.47581699346405226,0.29107474838488345,0.47581699346405226,0.8776041666666666,nan,nan,0.5555555555555556,0.49590087068910904,clean,dense,repr_both,0.25,
144.0,0.1222222222222222,0.09125418736761272,0.4545751633986928,0.27377999790806723,0.4545751633986928,0.8203125,nan,nan,0.55,0.49587500692696435,clean,dense,repr_both,0.1,
144.0,0.12013888888888886,0.08680912108202214,0.45501618122977344,0.2741440573891455,0.45501618122977344,0.8257575757575757,nan,nan,0.5486111111111112,0.49596198014539206,clean,dense,repr_both,0.0,
144.0,0.0,0.0,0.5,0.3112781244591329,0.5,1.0,0.0,0.0,0.9944444444444444,15.547066046237168,template,bm25,vanilla,,0.001
144.0,0.04027777777777777,0.016280849299009678,0.4962962962962963,0.30760637861633744,0.4962962962962963,0.9290780141843973,0.0,0.0,0.9249999999999999,1.3813449843214134,template,bm25,multi_query,,0.001
144.0,0.0,0.0,0.5,0.3112781244591329,0.5,1.0,0.0,0.0,0.9944444444444444,15.547066046237168,template,bm25,repr_group,1.0,0.001
144.0,0.0,0.0,0.5,0.3112781244591329,0.5,1.0,0.0,0.0,0.9944444444444444,15.547066046237168,template,bm25,repr_group,0.5,0.001
144.0,0.04722222222222223,0.02550744839548892,0.5,0.3112781244591329,0.5,1.0,0.0,0.0,0.9944444444444444,15.538592415258412,template,bm25,repr_group,0.25,0.001
144.0,0.10138888888888889,0.05703925620305096,0.5,0.3112781244591329,0.5,1.0,0.0,0.0,0.9944444444444444,15.52974105614585,template,bm25,repr_group,0.1,0.001
144.0,0.10138888888888889,0.05703925620305096,0.5,0.3112781244591329,0.5,1.0,0.0,0.0,0.9944444444444444,15.52974105614585,template,bm25,repr_group,0.0,0.001
144.0,0.12430555555555554,0.05707318530512046,0.5,0.3112781244591329,0.5,1.0,0.0,0.0,0.9958333333333333,15.531411963166331,template,bm25,repr_stance,1.0,0.001
144.0,0.12430555555555554,0.05707318530512046,0.5,0.3112781244591329,0.5,1.0,0.0,0.0,0.9958333333333333,15.531411963166331,template,bm25,repr_stance,0.5,0.001
144.0,0.12430555555555554,0.05707318530512046,0.5,0.3112781244591329,0.5,1.0,0.0,0.0,0.9958333333333333,15.531411963166331,template,bm25,repr_stance,0.25,0.001
144.0,0.12430555555555554,0.05707318530512046,0.5,0.3112781244591329,0.5,1.0,0.0,0.0,0.9958333333333333,15.531411963166331,template,bm25,repr_stance,0.1,0.001
144.0,0.12430555555555554,0.05707318530512046,0.5,0.3112781244591329,0.5,1.0,0.0,0.0,0.9958333333333333,15.531411963166331,template,bm25,repr_stance,0.0,0.001
144.0,0.3763888888888889,0.2572711378905881,0.5,0.3112781244591329,0.5,1.0,0.0,0.0,0.9972222222222222,15.512561776046864,template,bm25,repr_both,1.0,0.001
144.0,0.3763888888888889,0.2572711378905881,0.5,0.3112781244591329,0.5,1.0,0.0,0.0,0.9972222222222222,15.512561776046864,template,bm25,repr_both,0.5,0.001
144.0,0.2513888888888889,0.10796545382510157,0.5,0.3112781244591329,0.5,1.0,0.0,0.0,0.9972222222222222,15.52399505144118,template,bm25,repr_both,0.25,0.001
144.0,0.12430555555555554,0.05707318530512046,0.5,0.3112781244591329,0.5,1.0,0.0,0.0,0.9958333333333333,15.531411963166331,template,bm25,repr_both,0.1,0.001
144.0,0.12430555555555554,0.05707318530512046,0.5,0.3112781244591329,0.5,1.0,0.0,0.0,0.9958333333333333,15.531411963166331,template,bm25,repr_both,0.0,0.001
144.0,0.0062499999999999995,0.0031857057519746415,0.46701030927835047,0.28265368866221285,0.46701030927835047,0.9149659863945577,0.0763888888888889,0.015277777777777779,0.5458333333333333,0.500327401345919,template,dense,vanilla,,0.001
144.0,0.09513888888888888,0.03498081759785215,0.4580508474576271,0.27593238804066345,0.4580508474576271,0.8990384615384616,0.10416666666666667,0.023611111111111114,0.5027777777777778,1.2492450470871717,template,dense,multi_query,,0.001
144.0,0.1486111111111111,0.10463269339166179,0.48762886597938143,0.3018767130870094,0.48762886597938143,0.9262295081967213,0.006944444444444444,0.001388888888888889,0.5680555555555555,-0.013943051139581565,template,dense,manifold,,0.001
144.0,0.0062499999999999995,0.0031857057519746415,0.46701030927835047,0.28265368866221285,0.46701030927835047,0.9149659863945577,0.0763888888888889,0.015277777777777779,0.5458333333333333,0.500327401345919,template,dense,repr_group,1.0,0.001
144.0,0.0062499999999999995,0.0031857057519746415,0.46701030927835047,0.28265368866221285,0.46701030927835047,0.9149659863945577,0.0763888888888889,0.015277777777777779,0.5458333333333333,0.500327401345919,template,dense,repr_group,0.5,0.001
144.0,0.06041666666666666,0.04158778249792147,0.4922330097087379,0.30370213221880954,0.4922330097087379,0.9146586345381525,0.08333333333333333,0.01666666666666667,0.5513888888888889,0.49873615730270277,template,dense,repr_group,0.25,0.001
144.0,0.12430555555555554,0.08885994432888679,0.47307692307692306,0.28701205801908813,0.47307692307692306,0.8975903614457833,0.08333333333333333,0.01666666666666667,0.5569444444444444,0.49674299037181985,template,dense,repr_group,0.1,0.001
144.0,0.12916666666666668,0.08992440816872752,0.4733333333333332,0.2872431634137553,0.4733333333333332,0.9,0.08333333333333333,0.01666666666666667,0.5569444444444444,0.4964460546993518,template,dense,repr_group,0.0,0.001
144.0,0.12291666666666666,0.09113840374267984,0.47087378640776695,0.2844640950776574,0.47087378640776695,0.808457711442786,0.09027777777777778,0.018055555555555557,0.5263888888888889,0.4956950903907681,template,dense,repr_stance,1.0,0.001
144.0,0.12291666666666666,0.09113840374267984,0.47087378640776695,0.2844640950776574,0.47087378640776695,0.808457711442786,0.09027777777777778,0.018055555555555557,0.5263888888888889,0.4956950903907681,template,dense,repr_stance,0.5,0.001
144.0,0.12430555555555554,0.09206273049756618,0.4453074433656957,0.2625822070722852,0.4453074433656957,0.7960199004975125,0.11805555555555555,0.023611111111111114,0.5319444444444444,0.49603119100626564,template,dense,repr_stance,0.25,0.001
144.0,0.12430555555555554,0.09206273049756618,0.4453074433656957,0.2625822070722852,0.4453074433656957,0.8059701492537312,0.11805555555555555,0.023611111111111114,0.5305555555555556,0.4959500779464034,template,dense,repr_stance,0.1,0.001
144.0,0.12430555555555554,0.09206273049756618,0.4453074433656957,0.2625822070722852,0.4453074433656957,0.8059701492537312,0.11805555555555555,0.023611111111111114,0.5319444444444444,0.495982896315481,template,dense,repr_stance,0.0,0.001
144.0,0.21597222222222223,0.23657318322347964,0.46802721088435373,0.28484160074401227,0.46802721088435373,0.5277777777777778,0.08333333333333333,0.01666666666666667,0.5333333333333333,0.4958625362263466,template,dense,repr_both,1.0,0.001
144.0,0.21597222222222223,0.23657318322347964,0.46802721088435373,0.28484160074401227,0.46802721088435373,0.5277777777777778,0.08333333333333333,0.01666666666666667,0.5333333333333333,0.4958625362263466,template,dense,repr_both,0.5,0.001
144.0,0.1729166666666667,0.1345653124260053,0.46601307189542474,0.2793995465943284,0.46601307189542474,0.8641025641025641,0.10416666666666667,0.020833333333333332,0.5402777777777777,0.49600268226948097,template,dense,repr_both,0.25,0.001
144.0,0.12569444444444444,0.0959619295290219,0.4447712418300653,0.2621047961175122,0.4447712418300653,0.8,0.11805555555555555,0.023611111111111114,0.5347222222222222,0.4959258863058546,template,dense,repr_both,0.1,0.001
