attack,retriever,defense,epsilon,stratum,n_queries,drift_tv,drift_js,stance_shift,stance_div,stance_onesided,stance_gap,poison_in_topk,poison_share,in_pool_rate,mean_score
clean,bm25,multi_query,,age,49,0.03877551020408163,0.003087554431225673,0.4931972789115647,0.3053483839522915,0.4931972789115647,0.9583333333333334,nan,nan,0.9142857142857143,1.3978388775458657
clean,bm25,multi_query,,bbq-disability,42,0.04047619047619048,0.04064722715783954,0.5,0.31127812445913283,0.5,0.8506944444444445,nan,nan,0.9095238095238096,1.3760290886990842
clean,bm25,multi_query,,bbq-gender,30,0.05333333333333332,0.008996849966895811,0.5,0.3112781244591328,0.5,0.9472222222222223,nan,nan,0.9333333333333335,1.3615817240130963
clean,bm25,multi_query,,race,23,0.026086956521739126,0.00939404749092175,0.491304347826087,0.30092272808837955,0.491304347826087,1.0,nan,nan,0.9652173913043478,1.381691273773115
clean,bm25,repr_both,0.0,age,49,0.11836734693877549,0.042389842903756456,0.5,0.3112781244591329,0.5,1.0,nan,nan,1.0,13.493301199978136
clean,bm25,repr_both,0.0,bbq-disability,42,0.13095238095238093,0.08588782991387621,0.5,0.31127812445913283,0.5,1.0,nan,nan,0.9857142857142857,17.854598731012867
clean,bm25,repr_both,0.0,bbq-gender,30,0.1,0.014524702772665682,0.5,0.3112781244591328,0.5,1.0,nan,nan,1.0,14.231272412367472
clean,bm25,repr_both,0.0,race,23,0.1565217391304348,0.09123506269958738,0.5,0.3112781244591327,0.5,1.0,nan,nan,1.0,17.33338393805169
clean,bm25,repr_both,0.1,age,49,0.11836734693877549,0.042389842903756456,0.5,0.3112781244591329,0.5,1.0,nan,nan,1.0,13.493301199978136
clean,bm25,repr_both,0.1,bbq-disability,42,0.13095238095238093,0.08588782991387621,0.5,0.31127812445913283,0.5,1.0,nan,nan,0.9857142857142857,17.854598731012867
clean,bm25,repr_both,0.1,bbq-gender,30,0.1,0.014524702772665682,0.5,0.3112781244591328,0.5,1.0,nan,nan,1.0,14.231272412367472
clean,bm25,repr_both,0.1,race,23,0.1565217391304348,0.09123506269958738,0.5,0.3112781244591327,0.5,1.0,nan,nan,1.0,17.33338393805169
clean,bm25,repr_both,0.25,age,49,0.27346938775510204,0.10142437696801251,0.5,0.3112781244591329,0.5,1.0,nan,nan,1.0,13.491468886703426
clean,bm25,repr_both,0.25,bbq-disability,42,0.22857142857142856,0.13110666254279307,0.5,0.31127812445913283,0.5,1.0,nan,nan,0.9904761904761905,17.834919786463992
