qid,drift_tv,drift_js,stance_shift,stance_div,stance_onesided,stance_gap,poison_in_topk,poison_share,in_pool_rate,mean_score,attack,retriever,defense,epsilon,stratum,poison_rate
age-q0000,0.0,0.0,0.5,0.31127812445913283,0.5,1.0,nan,nan,1.0,11.908545355381548,clean,bm25,vanilla,,age,
age-q0001,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,1.0,10.994049212361139,clean,bm25,vanilla,,age,
age-q0002,0.0,0.0,0.5,0.31127812445913283,0.5,1.0,nan,nan,1.0,17.36654213832779,clean,bm25,vanilla,,age,
age-q0003,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,1.0,19.845650258119203,clean,bm25,vanilla,,age,
age-q0004,0.0,0.0,0.5,0.31127812445913283,0.5,1.0,nan,nan,1.0,24.246809408530602,clean,bm25,vanilla,,age,
age-q0005,0.0,0.0,0.5,0.31127812445913283,0.5,1.0,nan,nan,1.0,11.926298473249707,clean,bm25,vanilla,,age,
age-q0006,0.0,0.0,0.5,0.31127812445913283,0.5,1.0,nan,nan,1.0,10.160655483490597,clean,bm25,vanilla,,age,
age-q0007,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,1.0,13.433884596029955,clean,bm25,vanilla,,age,
age-q0008,0.0,0.0,0.5,0.31127812445913283,0.5,1.0,nan,nan,1.0,9.051830665652226,clean,bm25,vanilla,,age,
age-q0009,0.0,0.0,0.5,0.31127812445913283,0.5,1.0,nan,nan,1.0,10.695488687897099,clean,bm25,vanilla,,age,
age-q0010,0.0,0.0,0.5,0.31127812445913283,0.5,1.0,nan,nan,1.0,11.915863512329736,clean,bm25,vanilla,,age,
age-q0011,0.0,0.0,0.5,0.31127812445913283,0.5,1.0,nan,nan,1.0,12.515826386370383,clean,bm25,vanilla,,age,
age-q0012,0.0,0.0,0.5,0.31127812445913283,0.5,1.0,nan,nan,1.0,18.542834251432332,clean,bm25,vanilla,,age,
age-q0013,0.0,0.0,0.5,0.31127812445913283,0.5,1.0,nan,nan,1.0,11.745266408536775,clean,bm25,vanilla,,age,
age-q0014,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,1.0,8.024265229231265,clean,bm25,vanilla,,age,
age-q0015,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,1.0,7.424035040891367,clean,bm25,vanilla,,age,
age-q0016,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,1.0,11.645483282827334,clean,bm25,vanilla,,age,
age-q0017,0.0,0.0,0.5,0.31127812445913283,0.5,1.0,nan,nan,1.0,12.324235120160017,clean,bm25,vanilla,,age,
age-q0018,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,1.0,14.174485307325895,clean,bm25,vanilla,,age,
age-q0019,0.0,0.0,0.5,0.31127812445913283,0.5,1.0,nan,nan,1.0,11.591249118561647,clean,bm25,vanilla,,age,
age-q0020,0.0,0.0,0.5,0.31127812445913283,0.5,1.0,nan,nan,1.0,18.5924566476287,clean,bm25,vanilla,,age,
age-q0021,0.0,0.0,0.5,0.31127812445913283,0.5,1.0,nan,nan,1.0,10.673761226296296,clean,bm25,vanilla,,age,
age-q0022,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,1.0,11.282834590799927,clean,bm25,vanilla,,age,
age-q0023,0.0,0.0,0.5,0.31127812445913283,0.5,1.0,nan,nan,1.0,18.778612726949497,clean,bm25,vanilla,,age,
age-q0024,0.0,0.0,0.5,0.31127812445913283,0.5,1.0,nan,nan,1.0,14.631184987981158,clean,bm25,vanilla,,age,
age-q0025,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,1.0,16.111995066515128,clean,bm25,vanilla,,age,
age-q0026,0.0,0.0,0.5,0.31127812445913283,0.5,1.0,nan,nan,1.0,22.796001612070075,clean,bm25,vanilla,,age,
age-q0027,0.0,0.0,0.5,0.31127812445913283,0.5,1.0,nan,nan,1.0,19.444852145551938,clean,bm25,vanilla,,age,
age-q0028,0.0,0.0,0.5,0.31127812445913283,0.5,1.0,nan,nan,1.0,8.731697938139812,clean,bm25,vanilla,,age,
