n_queries,drift_tv,drift_js,stance_shift,stance_div,stance_onesided,stance_gap,poison_in_topk,poison_share,in_pool_rate,mean_score,defense,lambda,adaptive,usage
48.0,0.25,0.17651080152602908,0.49523809523809526,0.3056073121608633,0.49523809523809526,0.7708333333333334,0.8958333333333334,0.5791666666666667,0.016666666666666666,1.2309126349012793,multi_query,0.0,True,1.0000000109086893
48.0,0.3625,0.27960745714606033,0.5,0.31127812445913283,0.5,1.0,1.0,0.9583333333333334,0.008333333333333333,1.3464590444782196,multi_query,0.25,True,0.9939696921958213
48.0,0.3479166666666667,0.26709181212805366,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.3560281062310457,multi_query,0.5,True,0.979915676435447
48.0,0.3520833333333333,0.24813657770406736,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.3661808210138358,multi_query,1.0,True,0.9431829316071791
48.0,0.35625,0.22872548026334824,0.5,0.3112781244591328,0.5,1.0,1.0,1.0,0.0,1.3930851905066886,multi_query,2.0,True,0.8742317958814935
48.0,0.37916666666666665,0.25629466616397967,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.4163936125945085,multi_query,4.0,True,0.7883964362266309
48.0,0.0,0.0,0.5,0.31127812445913283,0.5,nan,0.0,0.0,0.09583333333333333,0.2505574127262964,manifold,0.0,True,1.0000000109086893
48.0,0.20000000000000004,0.18598967157911678,0.5,0.31127812445913283,0.5,1.0,0.625,0.5750000000000001,0.0375,-4.6425153673919874,manifold,0.25,True,0.9939696921958213
48.0,0.33125,0.23757164902086686,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,-8.43649988555679,manifold,0.5,True,0.979915676435447
48.0,0.34375,0.23757164902086686,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,-8.196440263375747,manifold,1.0,True,0.9431829316071791
48.0,0.30625,0.2082238233261977,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,-7.700389991543962,manifold,2.0,True,0.8742317958814935
48.0,0.31875000000000003,0.21200590358698912,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,-6.706194208753932,manifold,4.0,True,0.7883964362266309
48.0,0.23750000000000002,0.18763999105641563,0.5,0.31127812445913283,0.5,0.78125,0.5625,0.46249999999999997,0.025000000000000005,0.5766639679670335,repr_conserving,0.0,True,1.0000000109086893
48.0,0.56875,0.6142551503592454,0.5,0.31127812445913283,0.5,1.0,1.0,0.9874999999999999,0.0,0.6612618952989578,repr_conserving,0.25,True,0.9939696921958213
48.0,0.59375,0.6949229104110701,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,0.7547961965203284,repr_conserving,0.5,True,0.979915676435447
48.0,0.5875,0.6949229104110702,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,0.9854073852300643,repr_conserving,1.0,True,0.9431829316071791
48.0,0.5875,0.7380789388394017,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.4457865625619888,repr_conserving,2.0,True,0.8742317958814935
48.0,0.6,0.8025368044543446,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,2.368226444721222,repr_conserving,4.0,True,0.7883964362266309
