n_queries,drift_tv,drift_js,stance_shift,stance_div,stance_onesided,stance_gap,poison_in_topk,poison_share,in_pool_rate,mean_score,defense,lambda,adaptive,usage
48.0,0.17013888888888887,0.0451766147319307,0.5,0.3112781244591328,0.5,0.4642857142857143,0.7291666666666666,0.4416666666666667,0.020833333333333332,1.2765950526557326,multi_query,0.0,True,1.0
48.0,0.15312499999999998,0.02560923042738395,0.5,0.31127812445913283,0.5,0.7929292929292929,0.9583333333333334,0.8166666666666668,0.0,1.327473446905761,multi_query,0.25,True,0.9938485304643382
48.0,0.1111111111111111,0.012918357043141988,0.5,0.31127812445913283,0.5,0.9558823529411765,1.0,0.9541666666666666,0.0,1.3614175548511405,multi_query,0.5,True,0.9799900856870968
48.0,0.14166666666666666,0.039088036378687935,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.4084709799232307,multi_query,1.0,True,0.9452842728974089
48.0,0.13541666666666666,0.04058367841090739,0.5,0.3112781244591328,0.5,1.0,1.0,1.0,0.0,1.4152736390873935,multi_query,2.0,True,0.883272286253216
48.0,0.14166666666666666,0.05343466320293996,0.5,0.3112781244591328,0.5,1.0,1.0,1.0,0.0,1.413898982677015,multi_query,4.0,True,0.8091160268734827
48.0,0.2625,0.1823354272855802,0.5,0.3112781244591328,0.5,0.6,0.25,0.225,0.05416666666666666,-1.9871333809066452,manifold,0.0,True,1.0
48.0,0.3,0.21872054315071487,0.5,0.3112781244591328,0.5,1.0,0.5625,0.47500000000000003,0.02916666666666667,-4.365449039499249,manifold,0.25,True,0.9938485304643382
48.0,0.29375,0.2060795297424684,0.5,0.3112781244591328,0.5,0.8,0.8125,0.7624999999999998,0.012500000000000002,-7.1301588981263775,manifold,0.5,True,0.9799900856870968
48.0,0.23124999999999998,0.13891614969304222,0.5,0.3112781244591328,0.5,0.9166666666666666,0.9375,0.9375,0.0,-8.53438459225861,manifold,1.0,True,0.9452842728974089
48.0,0.23124999999999998,0.12350392533976573,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,-8.763873193463846,manifold,2.0,True,0.883272286253216
48.0,0.25,0.1336947121415812,0.5,0.3112781244591328,0.5,1.0,1.0,1.0,0.0,-7.97349050297692,manifold,4.0,True,0.8091160268734827
48.0,0.15000000000000002,0.14016177510177039,0.4722222222222222,0.2870650173895307,0.4722222222222222,0.375,0.625,0.525,0.016666666666666666,0.5181209936564452,repr_conserving,0.0,True,1.0
48.0,0.23541666666666664,0.23884667324734812,0.5,0.31127812445913283,0.5,0.4,0.875,0.7875,0.0,0.5747965428149433,repr_conserving,0.25,True,0.9938485304643382
48.0,0.25,0.31458276985574646,0.4666666666666667,0.2905262494951906,0.4666666666666667,0.6666666666666666,1.0,0.9249999999999998,0.0,0.65182009294253,repr_conserving,0.5,True,0.9799900856870968
48.0,0.28125,0.3708392989101497,0.5,0.3112781244591329,0.5,0.75,1.0,0.9875000000000002,0.0,0.8392379575220404,repr_conserving,1.0,True,0.9452842728974089
48.0,0.275,0.3979697341321202,0.5,0.3112781244591329,0.5,nan,1.0,1.0,0.0,1.2294248246744475,repr_conserving,2.0,True,0.883272286253216
48.0,0.26875000000000004,0.3979697341321202,0.5,0.31127812445913283,0.5,nan,1.0,1.0,0.0,2.0165561953493825,repr_conserving,4.0,True,0.8091160268734827
