n_queries,drift_tv,drift_js,stance_shift,stance_div,stance_onesided,stance_gap,poison_in_topk,poison_share,in_pool_rate,mean_score,attack,retriever,defense,epsilon,poison_rate,backbone
16.0,0.0,0.0,0.47222222222222215,0.28706501738953083,0.47222222222222215,0.016666666666666663,nan,nan,0.275,5.034001016483842,clean,bm25,vanilla,,,
16.0,0.003125000000000001,0.00021580994498051077,0.47222222222222215,0.28706501738953083,0.47222222222222215,0.041666666666666664,nan,nan,0.275,1.3749827477774814,clean,bm25,multi_query,,,
16.0,0.0,0.0,0.47222222222222215,0.28706501738953083,0.47222222222222215,0.016666666666666663,nan,nan,0.275,5.034001016483842,clean,bm25,repr_group,1.0,,
16.0,0.024999999999999998,0.018005257690933352,0.47222222222222215,0.28706501738953083,0.47222222222222215,0.013888888888888886,nan,nan,0.2875,5.03399862931337,clean,bm25,repr_group,0.25,,
16.0,0.10000000000000002,0.051025984463230416,0.47222222222222215,0.28706501738953083,0.47222222222222215,0.013888888888888886,nan,nan,0.275,5.033996242142899,clean,bm25,repr_group,0.0,,
16.0,0.012499999999999997,0.0024207837954442805,0.5,0.3112781244591329,0.5,0.06666666666666667,nan,nan,0.275,5.034001016483842,clean,bm25,repr_both,1.0,,
16.0,0.012499999999999997,0.0024207837954442805,0.4166666666666667,0.23863880325032671,0.4166666666666667,0.275,nan,nan,0.25,5.033992720776639,clean,bm25,repr_both,0.25,,
16.0,0.05,0.011133672435363588,0.3333333333333333,0.1659994820415205,0.3333333333333333,0.09999999999999998,nan,nan,0.23750000000000002,5.033988572923037,clean,bm25,repr_both,0.0,,
16.0,0.0,0.0,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.225,23.431784093379974,clean,splade,vanilla,,,
16.0,0.06875,0.01284421434733548,0.45714285714285713,0.27255290415727706,0.45714285714285713,0.2,nan,nan,0.22499999999999998,1.3057292041605706,clean,splade,multi_query,,,
16.0,0.175,0.15798790282967015,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.25,22.99281241531026,clean,splade,manifold,,,
16.0,0.0,0.0,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.225,23.431783974170685,clean,splade,repr_group,1.0,,
16.0,0.1,0.06648095147421544,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.21250000000000002,23.396617639064786,clean,splade,repr_group,0.25,,
16.0,0.2125,0.14819030275691544,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.21250000000000002,23.353795683383943,clean,splade,repr_group,0.0,,
16.0,0.0,0.0,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.225,23.431783974170685,clean,splade,repr_both,1.0,,
16.0,0.012499999999999999,0.008310118934276932,0.5,0.31127812445913283,0.5,0.2,nan,nan,0.225,23.419781458377837,clean,splade,repr_both,0.25,,
16.0,0.025,0.018188676743079075,0.5,0.31127812445913283,0.5,0.1,nan,nan,0.23750000000000002,23.41308912038803,clean,splade,repr_both,0.0,,
16.0,0.1625,0.05941948981986442,0.5,0.3112781244591329,0.5,0.6041666666666666,0.75,0.5375000000000001,0.1,6.3733685639067446,template,bm25,vanilla,,0.005,
16.0,0.15625,0.042202794710066945,0.4743589743589744,0.2889275640871925,0.4743589743589744,0.5555555555555555,0.75,0.525,0.125,1.3798213642157018,template,bm25,multi_query,,0.005,
16.0,0.1625,0.05941948981986442,0.5,0.3112781244591329,0.5,0.6041666666666666,0.75,0.5375000000000001,0.1,6.3733685639067446,template,bm25,repr_group,1.0,0.005,
16.0,0.1625,0.05941948981986442,0.5,0.3112781244591329,0.5,0.6041666666666666,0.75,0.5375000000000001,0.1,6.3733685639067446,template,bm25,repr_group,0.25,0.005,
16.0,0.16250000000000003,0.044428407722618864,0.5,0.3112781244591329,0.5,0.5416666666666666,0.75,0.5375000000000001,0.1,6.297155970676766,template,bm25,repr_group,0.0,0.005,
16.0,0.21249999999999997,0.2211691171345592,0.43076923076923074,0.25069148157345755,0.43076923076923074,0.07142857142857142,0.75,0.35,0.16250000000000003,5.8443134226333,template,bm25,repr_both,1.0,0.005,
16.0,0.1125,0.10803885474862368,0.4487179487179488,0.26657700371525217,0.4487179487179488,0.35833333333333334,0.75,0.42500000000000004,0.1375,6.049064532639356,template,bm25,repr_both,0.25,0.005,
16.0,0.14375,0.11093681899075404,0.4230769230769231,0.24422644334331178,0.4230769230769231,0.375,0.75,0.45,0.1375,6.122196745885127,template,bm25,repr_both,0.0,0.005,
16.0,0.15625,0.05131572466877777,0.5,0.31127812445913283,0.5,0.5185185185185186,0.625,0.35000000000000003,0.18750000000000003,24.09511023759842,template,splade,vanilla,,0.005,
16.0,0.16875,0.052283819702333985,0.48666666666666664,0.29539985002397795,0.48666666666666664,0.462962962962963,0.6875,0.3375,0.1875,1.3102715398161848,template,splade,multi_query,,0.005,
16.0,0.1875,0.1662980217639471,0.5,0.31127812445913283,0.5,0.0,0.0625,0.0125,0.25,22.996138196389104,template,splade,manifold,,0.005,
16.0,0.15625,0.05131572466877777,0.5,0.31127812445913283,0.5,0.5185185185185186,0.625,0.35000000000000003,0.18750000000000003,24.09511020183563,template,splade,repr_group,1.0,0.005,
16.0,0.20625,0.08732624005064447,0.5,0.31127812445913283,0.5,0.358974358974359,0.625,0.35000000000000003,0.2,24.07665526866913,template,splade,repr_group,0.25,0.005,
16.0,0.26249999999999996,0.14083509484832274,0.5,0.31127812445913283,0.5,0.32051282051282054,0.625,0.35000000000000003,0.2,24.009720635414123,template,splade,repr_group,0.0,0.005,
16.0,0.17291666666666666,0.0637866124686286,0.4714285714285714,0.2772532506695153,0.4714285714285714,0.25,0.6875,0.225,0.225,23.760926616191867,template,splade,repr_both,1.0,0.005,
16.0,0.14791666666666667,0.0496165825547088,0.5,0.31127812445913283,0.5,0.20833333333333334,0.5625,0.275,0.2,24.00017100572586,template,splade,repr_both,0.25,0.005,
16.0,0.16041666666666668,0.06031835351424445,0.5,0.31127812445913283,0.5,0.14583333333333334,0.5625,0.275,0.21250000000000002,23.993478667736056,template,splade,repr_both,0.0,0.005,
16.0,0.15625,0.06548575458269755,0.5,0.31127812445913283,0.5,0.7692307692307693,0.75,0.725,0.05,6.360080188677049,template,bm25,vanilla,,0.02,
16.0,0.16250000000000003,0.06867345903037526,0.5,0.31127812445913283,0.5,0.7307692307692307,0.75,0.7,0.05,1.3948322192619567,template,bm25,multi_query,,0.02,
16.0,0.15625,0.06548575458269755,0.5,0.31127812445913283,0.5,0.7692307692307693,0.75,0.725,0.05,6.360080188677049,template,bm25,repr_group,1.0,0.02,
16.0,0.15625,0.06548575458269755,0.5,0.31127812445913283,0.5,0.7692307692307693,0.75,0.725,0.05,6.360080188677049,template,bm25,repr_group,0.25,0.02,
16.0,0.175,0.07413752538599301,0.5,0.31127812445913283,0.5,0.7692307692307693,0.75,0.725,0.037500000000000006,6.246691164063374,template,bm25,repr_group,0.0,0.02,
16.0,0.30625,0.2990526198136311,0.43846153846153846,0.26451212942857,0.43846153846153846,0.0,0.75,0.6375,0.1,6.141274108175278,template,bm25,repr_both,1.0,0.02,
16.0,0.21250000000000002,0.16249363650930662,0.4743589743589744,0.28892756408719256,0.4743589743589744,0.7222222222222223,0.75,0.65,0.0875,6.19601793183385,template,bm25,repr_both,0.25,0.02,
16.0,0.17500000000000002,0.0700891127000198,0.4230769230769231,0.24422644334331178,0.4230769230769231,0.6282051282051283,0.75,0.6375000000000001,0.0875,6.20803470354482,template,bm25,repr_both,0.0,0.02,
