n_queries,drift_tv,drift_js,stance_shift,stance_div,stance_onesided,stance_gap,poison_in_topk,poison_share,in_pool_rate,mean_score,attack,retriever,defense,epsilon,poison_rate
16.0,0.0,0.0,0.47222222222222215,0.28706501738953083,0.47222222222222215,0.016666666666666663,nan,nan,0.275,5.034001016483842,clean,bm25,vanilla,,
16.0,0.003125000000000001,0.00021580994498051077,0.47222222222222215,0.28706501738953083,0.47222222222222215,0.041666666666666664,nan,nan,0.275,1.3749827477774814,clean,bm25,multi_query,,
16.0,0.0,0.0,0.47222222222222215,0.28706501738953083,0.47222222222222215,0.016666666666666663,nan,nan,0.275,5.034001016483842,clean,bm25,repr_group,1.0,
16.0,0.024999999999999998,0.018005257690933352,0.47222222222222215,0.28706501738953083,0.47222222222222215,0.013888888888888886,nan,nan,0.2875,5.033998629313371,clean,bm25,repr_group,0.25,
16.0,0.10000000000000002,0.051025984463230416,0.47222222222222215,0.28706501738953083,0.47222222222222215,0.013888888888888886,nan,nan,0.275,5.033996242142899,clean,bm25,repr_group,0.0,
16.0,0.012499999999999997,0.0024207837954442805,0.5,0.3112781244591329,0.5,0.06666666666666667,nan,nan,0.275,5.034001016483842,clean,bm25,repr_both,1.0,
16.0,0.012499999999999997,0.0024207837954442805,0.4166666666666667,0.23863880325032671,0.4166666666666667,0.275,nan,nan,0.25,5.033992720776639,clean,bm25,repr_both,0.25,
16.0,0.05,0.011133672435363588,0.3333333333333333,0.1659994820415205,0.3333333333333333,0.09999999999999998,nan,nan,0.23750000000000002,5.033988572923037,clean,bm25,repr_both,0.0,
16.0,0.0,0.0,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.275,0.897968839854002,clean,st,vanilla,,
16.0,0.1578125,0.09285787218990016,0.4857142857142857,0.2942656875643241,0.4857142857142857,0.0,nan,nan,0.25,1.1587474867816303,clean,st,multi_query,,
16.0,0.1625,0.11126356320961929,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.2,0.6529878345285665,clean,st,manifold,,
16.0,0.0,0.0,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.275,0.8979688569903373,clean,st,repr_group,1.0,
16.0,0.075,0.046299234062400045,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.2375,0.8976582385599613,clean,st,repr_group,0.25,
16.0,0.1625,0.10382631003713179,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.2,0.8974518433213234,clean,st,repr_group,0.0,
16.0,0.0,0.0,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.275,0.8979688569903373,clean,st,repr_both,1.0,
16.0,0.0,0.0,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.275,0.8979688569903373,clean,st,repr_both,0.25,
16.0,0.0,0.0,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.275,0.8979688569903373,clean,st,repr_both,0.0,
16.0,0.1625,0.05941948981986442,0.5,0.3112781244591329,0.5,0.6041666666666666,0.75,0.5375000000000001,0.1,6.3733685639067446,template,bm25,vanilla,,0.005
16.0,0.15625,0.042202794710066945,0.4743589743589744,0.2889275640871925,0.4743589743589744,0.5555555555555555,0.75,0.525,0.125,1.3798213642157018,template,bm25,multi_query,,0.005
16.0,0.1625,0.05941948981986442,0.5,0.3112781244591329,0.5,0.6041666666666666,0.75,0.5375000000000001,0.1,6.3733685639067446,template,bm25,repr_group,1.0,0.005
16.0,0.1625,0.05941948981986442,0.5,0.3112781244591329,0.5,0.6041666666666666,0.75,0.5375000000000001,0.1,6.3733685639067446,template,bm25,repr_group,0.25,0.005
16.0,0.16250000000000003,0.044428407722618864,0.5,0.3112781244591329,0.5,0.5416666666666666,0.75,0.5375000000000001,0.1,6.297155970676765,template,bm25,repr_group,0.0,0.005
16.0,0.21249999999999997,0.2211691171345592,0.43076923076923074,0.25069148157345755,0.43076923076923074,0.07142857142857142,0.75,0.35,0.16250000000000003,5.844313422633299,template,bm25,repr_both,1.0,0.005
16.0,0.1125,0.10803885474862368,0.4487179487179488,0.26657700371525217,0.4487179487179488,0.35833333333333334,0.75,0.42500000000000004,0.1375,6.049064532639356,template,bm25,repr_both,0.25,0.005
16.0,0.14375,0.11093681899075404,0.4230769230769231,0.24422644334331178,0.4230769230769231,0.375,0.75,0.45,0.1375,6.122196745885127,template,bm25,repr_both,0.0,0.005
16.0,0.0,0.0,0.5,0.31127812445913283,0.5,0.08333333333333334,0.0625,0.0125,0.275,0.8979943133890629,template,st,vanilla,,0.005
16.0,0.1421875,0.07279764973894202,0.4714285714285714,0.2772532506695153,0.4714285714285714,0.08333333333333333,0.25,0.05,0.225,1.167016558874588,template,st,multi_query,,0.005
16.0,0.1625,0.11126356320961929,0.5,0.31127812445913283,0.5,0.0,0.0,0.0,0.2,0.6529878285681021,template,st,manifold,,0.005
16.0,0.0,0.0,0.5,0.31127812445913283,0.5,0.08333333333333334,0.0625,0.0125,0.275,0.8979943312704564,template,st,repr_group,1.0,0.005
16.0,0.075,0.046299234062400045,0.5,0.31127812445913283,0.5,0.03333333333333334,0.0625,0.0125,0.2375,0.897683710604906,template,st,repr_group,0.25,0.005
16.0,0.1625,0.10382631003713179,0.5,0.31127812445913283,0.5,0.03333333333333334,0.0625,0.0125,0.2,0.8974773153662682,template,st,repr_group,0.0,0.005
16.0,0.0375,0.024606024557544865,0.4857142857142857,0.29426568756432403,0.4857142857142857,0.25,0.125,0.025,0.2625,0.8978920780122281,template,st,repr_both,1.0,0.005
16.0,0.012499999999999999,0.007716539010400009,0.5,0.31127812445913283,0.5,0.06666666666666668,0.0625,0.0125,0.275,0.8979706980288029,template,st,repr_both,0.25,0.005
16.0,0.012499999999999999,0.007716539010400009,0.5,0.31127812445913283,0.5,0.06666666666666668,0.0625,0.0125,0.275,0.8979706980288029,template,st,repr_both,0.0,0.005
16.0,0.15625,0.06548575458269755,0.5,0.31127812445913283,0.5,0.7692307692307693,0.75,0.725,0.05,6.360080188677049,template,bm25,vanilla,,0.02
16.0,0.16250000000000003,0.06867345903037526,0.5,0.31127812445913283,0.5,0.7307692307692307,0.75,0.7,0.05,1.3948322192619567,template,bm25,multi_query,,0.02
16.0,0.15625,0.06548575458269755,0.5,0.31127812445913283,0.5,0.7692307692307693,0.75,0.725,0.05,6.360080188677049,template,bm25,repr_group,1.0,0.02
16.0,0.15625,0.06548575458269755,0.5,0.31127812445913283,0.5,0.7692307692307693,0.75,0.725,0.05,6.360080188677049,template,bm25,repr_group,0.25,0.02
16.0,0.175,0.07413752538599301,0.5,0.31127812445913283,0.5,0.7692307692307693,0.75,0.725,0.037500000000000006,6.246691164063375,template,bm25,repr_group,0.0,0.02
16.0,0.30625,0.2990526198136311,0.43846153846153846,0.26451212942857,0.43846153846153846,0.0,0.75,0.6375,0.1,6.141274108175278,template,bm25,repr_both,1.0,0.02
16.0,0.21250000000000002,0.16249363650930662,0.4743589743589744,0.28892756408719256,0.4743589743589744,0.7222222222222223,0.75,0.65,0.0875,6.19601793183385,template,bm25,repr_both,0.25,0.02
16.0,0.17500000000000002,0.0700891127000198,0.4230769230769231,0.24422644334331178,0.4230769230769231,0.6282051282051283,0.75,0.6375000000000001,0.0875,6.20803470354482,template,bm25,repr_both,0.0,0.02
16.0,0.0,0.0,0.5,0.31127812445913283,0.5,0.25,0.125,0.075,0.2375,0.8980523124337196,template,st,vanilla,,0.02
